Index,User name,Start Time,Stop Time,Status,Mark To Pause,Label,Comment,Run ID,Line,Vial,Evaluate,Sample Type,Reference,Acquisition information Background Result,Linearity Correction Result,Pressure Adjust Target Intensity,High Voltage,Kiel IV Initial Pressure,Kiel IV Residual CO₂ Pressure,Peak Center Result,Kiel IV Non Condensable Pressure,Pressure Adjust Result Intensity,Initial Intensity from µ-Volume,Kiel IV Leak Rate,Pressure Adjust Initial Intensity,Ion Source Pressure,Pressure Adjust Bellow Position,Kiel IV CO₂ Sample Pressure,Kiel IV Acid Temperature,Measuring from,Pressure Adjust failed with Target Intensity,Cycle Number,Sample Intensities Sample Intensity 44.00 m/z,45.00 m/z,45.00 m/z__dup2,46.00 m/z,46.00 m/z__dup2,Standard Intensities Standard Intensity 44.00 m/z,"Molecule Deltas CO2 Brand, Assonov and Coplen d45CO2",d46CO2,"CO2 Brand, Assonov and Coplen (Avg.) d45CO2 Mean",d45CO2 SD,d45CO2 SE,d46CO2 Mean,d46CO2 SD,d46CO2 SE,d 13C/12C  Mean,d 13C/12C  Std Dev,d 18O/16O  Mean,d 18O/16O  Std Dev,Excel File,Date,Date_ordinal,leak_rate,p_gases,p_no_acid,total_co2,1  Cycle Int  Samp  44,Identifier 1,Species,Identifier 2
1.0,GIRMS\IRMS-operator,2026-03-20 13:30:11.955,2026-03-20 14:29:14.587,Success,False,SHP2L,,1.0,1.0,2.0,True,QC Standard,SHP2L,"0.001 V, 0.001 V, 0.001 V",,8.082 V,9.5203 kV,18 µbar,20 µbar,Carbon Dioxide: 0.0203 kV,47 µbar,7.474 V,9.161 V,39 µbar/min,3.330 V,8.64E-008 mbar,27 %,741 µbar,72 °C,µ-Volume,,Pre,7.326481997791935,7.9650113899932435,8.034844991871081,10.441197432198276,10.73306647650217,7.521672122122338,-0.8295212544969788,-6.159377863043547,-0.8453090988126855,0.0105650409080775,0.0027278818325989,-6.164325414595017,0.0254749487083041,0.00657760347285,-0.6782077489313197,0.012783424473119,-6.169020612239043,0.0254956007974638,Renata Nagai 780 G. ruber series 1.xlsx,2026-03-20 13:30:11.955,739695.0,39.0,47.0,20.0,741.0,7.474,SHP2L,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 1,7.085902979751296,7.703674824975543,7.665110619805866,10.098575032868135,10.238635705612326,7.175414169678215,-0.8351122137080225,-6.129689316540787,,,,,,,,,,,Renata Nagai 780 G. ruber series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 2,6.856812746034556,7.454885037683063,7.316915186189226,9.77234391085123,9.773272885333034,6.849145665219401,-0.8382409803306956,-6.110205295934201,,,,,,,,,,,Renata Nagai 780 G. ruber series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 3,6.63419641499815,7.212942427729391,6.988017372869589,9.454531944908847,9.333599642452446,6.541057441464647,-0.8600040103423634,-6.18551575937154,,,,,,,,,,,Renata Nagai 780 G. ruber series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 4,6.422190991981204,6.982622535966449,6.676888566162717,9.152818927254607,8.918105043091527,6.249605907624023,-0.8463154826446884,-6.168401445381222,,,,,,,,,,,Renata Nagai 780 G. ruber series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 5,6.217255517523916,6.759992262886942,6.382933639628948,8.860467351593723,8.525697864212741,5.974530734317722,-0.8359945726765794,-6.20511940032642,,,,,,,,,,,Renata Nagai 780 G. ruber series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 6,6.018540039113139,6.544029939662229,6.104288490556293,8.577479399361362,8.153100976164703,5.713447738028465,-0.8535124093388413,-6.193623830296202,,,,,,,,,,,Renata Nagai 780 G. ruber series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 7,5.828931627146767,6.3379983027206,5.84046343161922,8.307693875946752,7.8008080591924625,5.466410832140528,-0.8533031155727455,-6.14234012814352,,,,,,,,,,,Renata Nagai 780 G. ruber series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 8,5.645239326539609,6.138241905020997,5.58988878825309,8.045559398388347,7.465763367333163,5.231768161802781,-0.8713591733876536,-6.181381316153756,,,,,,,,,,,Renata Nagai 780 G. ruber series 1.xlsx,,,,,,,,,,
,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,Cycle 9,5.469015016606425,5.946857722543292,5.352185918271076,7.794557489075412,7.148413337387789,5.009258979822436,-0.8457331091743514,-6.184750156941754,,,,,,,,,,,Renata Nagai 780 G. ruber series 1.xlsx,,,,,,,,,,
